CustomerID,FeedbackText
1,The delivery was fast and the product quality is excellent
2,Customer service was slow and unhelpful
3,Great pricing but the product arrived late
4,I love the quality but the support team is terrible
5,Fast delivery and great customer service
6,The product is overpriced and not worth it
7,Very satisfied with the service and delivery speed
8,Poor quality and bad service experience
9,Affordable prices and good quality
10,Delivery was delayed but customer support helped
``
